,history,n
14280,thickness transplant,2
14281,thickness transplant deep,2
14282,thin,2
14283,thoracic outlet,2
14284,thoracic outlet syndrome,2
14285,thoracic vertebra,2
14286,three times,2
14287,throat irritation,2
14288,thrombocytopenia obstructive,2
14289,thromboembolism,2
14290,thrombosis deep,2
14291,thrombosis deep veins,2
14292,thrombosis right,2
14293,thrombosis unspecified,2
14294,thrombosis unspecified deep,2
14295,thrombotic,2
14296,thumb,2
14297,thursday,2
14298,thyriod,2
14299,thyroid autoimmune,2
14300,thyroid autoimmune issue,2
14301,thyroid benign,2
14302,thyroid benign tumor,2
14303,thyroid cancer age,2
14304,thyroid cancer excised,2
14305,thyroid cancer high,2
14306,thyroid cancer hypothyroidism,2
14307,thyroid cancer sp,2
14308,thyroid cancer thyroid,2
14309,thyroid cancer years,2
14310,thyroid cardiomyopathy,2
14311,thyroid cholesterol,2
14312,thyroid condition takes,2
14313,thyroid dysfunction,2
14314,thyroid goiter,2
14315,thyroid graves,2
14316,thyroid hashimotos,2
14317,thyroid hormones,2
14318,thyroid hormones decreased,2
14319,thyroid hypo,2
14320,thyroid medication,2
14321,thyroid medicine,2
14322,thyroid obesity,2
14323,thyroid problems,2
14324,thyroid unspecified,2
14325,thyroid visem,2
14326,thyroidectomy hypertension,2
14327,thyroidectomy partial,2
14328,thyroidectomy thyroid cancer,2
14329,thyroidectomy years,2
14330,thyroidectomy years ago,2
14331,thyroiditis anemia,2
14332,thyroiditis anxiety,2
14333,thyroiditis ibs,2
14334,thyroiditis migraine,2
14335,thyroiditis vitiligo,2
14336,tia atrial,2
14337,tia atrial fibrillation,2
14338,tia copd,2
14339,tia dm,2
14340,tia hypothyroidism,2
14341,tia transient,2
14342,tia transient ischemic,2
14343,tibial tendon,2
14344,tibial tendon dysfunction,2
14345,tic,2
14346,tightness,2
14347,time diabetes,2
14348,time incident,2
14349,time took,2
14350,time took sulfa,2
14351,time vaccine,2
14352,tinea unguium b,2
14353,tinea unguium onychogryphosis,2
14354,tingling,2
14355,tinnitus esophageal,2
14356,tinnitus esophageal varices,2
14357,tinnitus left,2
14358,tinnitus left ear,2
14359,tinnitus vertigo,2
14360,tissue autoimmune,2
14361,tissue disorders,2
14362,tissue sjogrens,2
14363,tissues joints,2
14364,tissues joints swelling,2
14365,tissues right,2
14366,tka,2
14367,tmj disorder,2
14368,tn,2
14369,tobacco dependence,2
14370,today,2
14371,toes,2
14372,tolerance impaired,2
14373,tonic,2
14374,tonsil,2
14375,took covid,2
14376,took covid vaccine,2
14377,took medication,2
14378,took sulfa,2
14379,took sulfa antibiotic,2
14380,torn labrum,2
14381,total abdominal,2
14382,total abdominal hysterectomy,2
14383,total body,2
14384,total colectomy,2
14385,total hip,2
14386,toxic,2
14387,tract infection urinary,2
14388,tract symp,2
14389,tramadol lisinopril,2
14390,tramadol lisinopril statins,2
14391,transfusions,2
14392,transplant deep,2
14393,transplant deep anterior,2
14394,transplant diabetes,2
14395,transplant hcc,2
14396,transplant heart,2
14397,transplant kidney,2
14398,transplanted,2
14399,transverse myelitis,2
14400,traveling,2
14401,treated controlled,2
14402,treated high,2
14403,treated osteoporosis,2
14404,treated radiation therapy,2
14405,treated surgery,2
14406,treated well,2
14407,treatment urticaria,2
14408,treatment urticaria folliculitis,2
14409,tree nuts,2
14410,tremor hands,2
14411,tricuspid insufficiency,2
14412,tricuspid valve disorder,2
14413,trigeminal neuritis,2
14414,trigger,2
14415,trigger finger,2
14416,triggered,2
14417,triggered environmental,2
14418,triggered environmental factors,2
14419,triglycerides gerd,2
14420,troponins,2
14421,trouble speech,2
14422,tt vertebra,2
14423,tt vertebra sequela,2
14424,ttp,2
14425,tubes,2
14426,tumor cerebri,2
14427,tumor excision,2
14428,tumor kidney,2
14429,tumor removed behind,2
14430,tumors removed,2
14431,tunnel syndrome bilateral,2
14432,turp,2
14433,two diabetes,2
14434,two diabetic,2
14435,two stents,2
14436,two times,2
14437,two years ago,2
14438,type a,2
14439,type depression anxiety,2
14440,type diabetes celiac,2
14441,type diabetes controlled,2
14442,type diabetes hashimotos,2
14443,type diabetes heart,2
14444,type diabetes morbid,2
14445,type diabetes nasal,2
14446,type diabetes osteoporosis,2
14447,type diabetes prostate,2
14448,type diabetes stage,2
14449,type diabetes well,2
14450,type dm asthma,2
14451,type dm copd,2
14452,type dm gerd,2
14453,type hbp,2
14454,type hbp allergies,2
14455,type ii htn,2
14456,type ii hx,2
14457,type ii obesity,2
14458,type insulin dependent,2
14459,type kidney,2
14460,type obesity,2
14461,type one,2
14462,type osteoarthritis,2
14463,type rheumatoid,2
14464,type rheumatoid arthritis,2
14465,type two diabetes,2
14466,type two diabetic,2
14467,typically,2
14468,tyroid,2
14469,tyroid issues,2
14470,tyroid issues ibs,2
14471,ulcer bilateral,2
14472,ulcer bleeding,2
14473,ulcer htn,2
14474,ulcer left,2
14475,ulcer part,2
14476,ulcer without,2
14477,ulcerative colitis arthritis,2
14478,ulcerative colitis rheumatoid,2
14479,ulcerative colitisnot,2
14480,ulnar,2
14481,ultimately,2
14482,umbilical hernia without,2
14483,unable control,2
14484,unable control bowels,2
14485,unavailable,2
14486,unaware,2
14487,uncertain behavior,2
14488,uncontrolled type,2
14489,uncontrolled type diabetes,2
14490,underlying condition,2
14491,underlying migraine,2
14492,underlying migraine paresthesiachronic,2
14493,underweight,2
14494,undiagnosed autoimmune,2
14495,unguium b,2
14496,unguium onychogryphosis,2
14497,unilateral primary,2
14498,unilateral primary osteoarthritis,2
14499,unknown entered,2
14500,unknown entered unlisted,2
14501,unknown heart,2
14502,unkown,2
14503,unrelated,2
14504,unsp psychosis,2
14505,unsp psychosis due,2
14506,unspecified acute kidney,2
14507,unspecified acute posthemorrhagic,2
14508,unspecified acute respiratory,2
14509,unspecified affecting,2
14510,unspecified affecting right,2
14511,unspecified agerelated osteoporosis,2
14512,unspecified autoimmune,2
14513,unspecified breast,2
14514,unspecified cardiac,2
14515,unspecified cardiovascular,2
14516,unspecified cardiovascular coagulations,2
14517,unspecified cerebral,2
14518,unspecified cerebral artery,2
14519,unspecified cirrhosis,2
14520,unspecified cirrhosis liver,2
14521,unspecified complications,2
14522,unspecified complications nta,2
14523,unspecified congenital,2
14524,unspecified coronary,2
14525,unspecified date,2
14526,unspecified deep,2
14527,unspecified deep veins,2
14528,unspecified depression,2
14529,unspecified diastolic,2
14530,unspecified dx,2
14531,unspecified dysphagia unspecified,2
14532,unspecified e diagnosis,2
14533,unspecified e hyperlipidemia,2
14534,unspecified e hypokalemia,2
14535,unspecified epilepsy,2
14536,unspecified essential hypertension,2
14537,unspecified f generalized,2
14538,unspecified falling,2
14539,unspecified family,2
14540,unspecified fracture shaft,2
14541,unspecified g insomnia,2
14542,unspecified generalized,2
14543,unspecified i cerebral,2
14544,unspecified i peripheral,2
14545,unspecified insomnia,2
14546,unspecified insomnia unspecified,2
14547,unspecified k gastroesophageal,2
14548,unspecified k secondary,2
14549,unspecified lacrimal,2
14550,unspecified lacrimal gland,2
14551,unspecified m agerelated,2
14552,unspecified m scoliosis,2
14553,unspecified malignant,2
14554,unspecified malignant neoplasm,2
14555,unspecified management diagnosis,2
14556,unspecified management nonranked,2
14557,unspecified management secondary,2
14558,unspecified nicotine,2
14559,unspecified nicotine dependence,2
14560,unspecified nonsurgical,2
14561,unspecified nonsurgical orthopedicmusculoskeletal,2
14562,unspecified note,2
14563,unspecified nta,2
14564,unspecified nta pts,2
14565,unspecified occlusion stenosis,2
14566,unspecified organism pulmonary,2
14567,unspecified presence,2
14568,unspecified primary,2
14569,unspecified primary hypertension,2
14570,unspecified proteincalorie,2
14571,unspecified proteincalorie malnutrition,2
14572,unspecified r malaise,2
14573,unspecified r weakness,2
14574,unspecified severe,2
14575,unspecified severe proteincalorie,2
14576,unspecified side,2
14577,unspecified site e,2
14578,unspecified site m,2
14579,unspecified site unspecified,2
14580,unspecified tachycardia,2
14581,unspecified unspecified urinary,2
14582,unspecified urinary tract,2
14583,unspecified venous,2
14584,unspecified viral,2
14585,unspecified viral hepatitis,2
14586,unspecified vitamin,2
14587,unspecified weakness,2
14588,unspecified whether,2
14589,unspecified whether hypoxia,2
14590,unspecified without,2
14591,unspecified z personal,2
14592,update b,2
14593,update d,2
14594,update d anemia,2
14595,update e hyperlipidemia,2
14596,update e type,2
14597,update g paraplegia,2
14598,update i essential,2
14599,update l,2
14600,update z dependence,2
14601,update z long,2
14602,update z personal,2
14603,upon arrival,2
14604,upper lobe,2
14605,ureter unspecified,2
14606,ureteroscopy,2
14607,uretral,2
14608,urgency,2
14609,uri,2
14610,urinary catheter,2
14611,urinary flow,2
14612,urinary incontinence constipation,2
14613,urination,2
14614,uritcaria,2
14615,urogenital,2
14616,urogenital implants,2
14617,urticaria angioedema,2
14618,urticaria asthma,2
14619,urticaria controlled,2
14620,urticaria controlled one,2
14621,urticaria folliculitis,2
14622,urticaria folliculitis near,2
14623,use anticoagulants z,2
14624,use inhaler,2
14625,use systemic steroid,2
14626,use systemic steroids,2
14627,used steroids,2
14628,usual,2
14629,uteri,2
14630,uterine fibroid,2
14631,uti hypothyroidism,2
14632,uticaria,2
14633,uvula,2
14634,v leiden deficiency,2
14635,v leiden heterozygous,2
14636,v liden,2
14637,v tach,2
14638,vaccination degenerative,2
14639,vaccination depression,2
14640,vaccination diabetes,2
14641,vaccination hypothyroidism,2
14642,vaccination migraine,2
14643,vaccination sulfonamide,2
14644,vaccination sulfonamide allergy,2
14645,vaccination yes covid,2
14646,vaccination yes depression,2
14647,vaccination yes hypertension,2
14648,vaccination yes hypothyroidism,2
14649,vaccination yes latex,2
14650,vaccination yes penicillin,2
14651,vaccine administered,2
14652,vaccine antibiotic,2
14653,vaccine blood cholesterol,2
14654,vaccine hypertension,2
14655,vaccine shot,2
14656,vaginal atrophy,2
14657,vaginal delivery,2
14658,vagovasal,2
14659,valley,2
14660,valley fever,2
14661,valve leakage,2
14662,valve prolapse depression,2
14663,valve regurgitation copd,2
14664,valve replaced years,2
14665,valve replacement bioprosthetic,2
14666,valve replacement high,2
14667,valve replacement pacemaker,2
14668,valve since,2
14669,valve stenosis insufficiency,2
14670,vams,2
14671,varicella,2
14672,varices copd,2
14673,varices copd colon,2
14674,varicose veins legs,2
14675,various,2
14676,vascular access,2
14677,vascular access device,2
14678,vascular accident cmshcc,2
14679,vascular cmshcc,2
14680,vascular dementia behavioral,2
14681,vascular dementia chf,2
14682,vascular dementia glaucoma,2
14683,vascular diseases,2
14684,vascular disorder,2
14685,vascular htn,2
14686,vascular implants,2
14687,vascular implants grafts,2
14688,vascular pain,2
14689,vascular stents,2
14690,vascular unspecified e,2
14691,vascular unspecified f,2
14692,vasectomy,2
14693,vaso,2
14694,vasomotor rhinitis,2
14695,vasospasm,2
14696,vasovagal episodes,2
14697,vats,2
14698,vats surgery,2
14699,vegan,2
14700,vegetables,2
14701,vegetables mild,2
14702,vegetables mild itching,2
14703,vehicle,2
14704,vehicle accident,2
14705,vein occlusion,2
14706,vein occlusion diagnosed,2
14707,vein removal,2
14708,veins legs,2
14709,veins lower extremities,2
14710,venous access,2
14711,vent,2
14712,ventilator,2
14713,ventral hernia,2
14714,ventricular contractions sulfonamide,2
14715,verbatim allergic,2
14716,verbatim asthma blood,2
14717,verbatim atrial fibrillation,2
14718,verbatim cholesterol,2
14719,verbatim fibromyalgia,2
14720,verbatim high blood,2
14721,verbatim hypertension,2
14722,verbatim neuropathy,2
14723,verbatim type,2
14724,vertebra closed,2
14725,vertigo autoimmune,2
14726,vertigo year,2
14727,vessels,2
14728,vestibular disorder,2
14729,vid,2
14730,vid d,2
14731,vid d def,2
14732,viral hepatitis c,2
14733,viral meningitis,2
14734,viral pneumonia,2
14735,viral warts,2
14736,visem,2
14737,vision abnormal,2
14738,vision loss,2
14739,vit b,2
14740,vitamin b def,2
14741,vitamin supplementation,2
14742,vitiligo psoriasis,2
14743,vitreous detachment,2
14744,vocal chord,2
14745,vomit,2
14746,w radiculopathy,2
14747,w urinary,2
14748,waist legs,2
14749,waist legs ankles,2
14750,waist waist,2
14751,waist waist legs,2
14752,wake,2
14753,waldenstroms,2
14754,walnuts cat,2
14755,walnuts cat hair,2
14756,warts,2
14757,wasp sting,2
14758,wasting atrophy hx,2
14759,watering,2
14760,weak,2
14761,weakness generalized na,2
14762,weakness generalized unspecified,2
14763,weakness generalized z,2
14764,weakness gerd,2
14765,weakness i,2
14766,weakness r unspecified,2
14767,weakness r unsteadiness,2
14768,weakness weakness,2
14769,weeds,2
14770,week prior,2
14771,weeks ago,2
14772,weeks first,2
14773,weight gain,2
14774,weight increase,2
14775,weight loss surgery,2
14776,well contolled,2
14777,well control,2
14778,well control time,2
14779,well controlled asthma,2
14780,well controlled diagnosed,2
14781,well controlled gerd,2
14782,well controlled htn,2
14783,wellcontrolled medication,2
14784,went emergency,2
14785,went emergency room,2
14786,wet,2
14787,wheelchair bound,2
14788,whether hypoxia,2
14789,whether hypoxia hypercapnia,2
14790,whipple,2
14791,white syndrome,2
14792,wilms,2
14793,wilms tumor,2
14794,wisdom teeth,2
14795,without comorbidity,2
14796,without complications e,2
14797,without complications z,2
14798,without diarrhea,2
14799,without diarrhea i,2
14800,without esophagitis k,2
14801,without esophagitis long,2
14802,without esophagitis malignant,2
14803,without gangrene longterm,2
14804,without hepatic,2
14805,without hepatic coma,2
14806,without mention hemorrhage,2
14807,without myelopathy radiculopathy,2
14808,without perforation,2
14809,without perforation abscess,2
14810,without sciatica,2
14811,without urinary,2
14812,wo aura,2
14813,wo obstruction,2
14814,workup,2
14815,worsened,2
14816,wound infection,2
14817,wound unspecified,2
14818,wpw syndrome,2
14819,x coronary,2
14820,x mm,2
14821,x mm stent,2
14822,x per,2
14823,x pulmonary,2
14824,x pulmonary embolism,2
14825,x right,2
14826,x right vats,2
14827,x status,2
14828,x status post,2
14829,x years ago,2
14830,xrt,2
14831,year ago left,2
14832,year half ago,2
14833,year risk,2
14834,year smoking,2
14835,years ago blood,2
14836,years ago cancer,2
14837,years ago diagnosed,2
14838,years ago kidney,2
14839,years ago maybe,2
14840,years ago respiratory,2
14841,years ago shellfish,2
14842,years ago stent,2
14843,years ago total,2
14844,years ago weight,2
14845,years heart,2
14846,years now,2
14847,years old partial,2
14848,years post,2
14849,years shellfish,2
14850,years shellfish allergy,2
14851,years since,2
14852,years took,2
14853,years took covid,2
14854,yeast infection,2
14855,yellow jackets,2
14856,yellow jackets perfumes,2
14857,yes anemia,2
14858,yes asthma,2
14859,yes bactrim,2
14860,yes bactrim sulfa,2
14861,yes depression,2
14862,yes hypertension,2
14863,yes hypothyroidism,2
14864,yes irritable,2
14865,yes irritable bowel,2
14866,yes latex,2
14867,yes latex allergy,2
14868,yes penicillin allergy,2
14869,yo male,2
14870,z body,2
14871,z body mass,2
14872,z cataract,2
14873,z cataract extraction,2
14874,z contact,2
14875,z contact suspected,2
14876,z dependence,2
14877,z diagnosis stay,2
14878,z encounter adjustment,2
14879,z encounter fitting,2
14880,z encounter specified,2
14881,z encounter surgical,2
14882,z personal colonic,2
14883,z personal transient,2
14884,z personal urinary,2
14885,z reduced,2
14886,z reduced mobility,2
14887,z t,2
14888,zero,2
14889,zone,2
14890,zone lymphoma,2
14891,a bph,1
14892,a bph gerd,1
14893,a g,1
14894,a g cluster,1
14895,a hereditary,1
14896,a hereditary neuropathy,1
14897,a mutation,1
14898,a mutation hypothyroid,1
14899,a sepsis,1
14900,a sepsis unspecified,1
14901,aaa asthma,1
14902,aaa asthma obesity,1
14903,aaa biliary,1
14904,aaa biliary dyskinesia,1
14905,aaa dementia,1
14906,aaa dementia hyponatremia,1
14907,aaa diastolic,1
14908,aaa diastolic heart,1
14909,aaa endovascular,1
14910,aaa endovascular stent,1
14911,aaa gerd,1
14912,aaa gerd htn,1
14913,aaa htn,1
14914,aaa htn afib,1
14915,aaa peripheral,1
14916,aaa peripheral vascular,1
14917,aaa pvd,1
14918,aaa pvd neuropathy,1
14919,aaa sp endovascular,1
14920,aaa sp evar,1
14921,aaa stent,1
14922,aaa stent copd,1
14923,aaa wo,1
14924,aaa wo rupture,1
14925,aasthma,1
14926,aat,1
14927,aat deficiency,1
14928,aat deficiency hpv,1
14929,aathma,1
14930,abation,1
14931,abation gerd,1
14932,abation gerd hyperlipidemia,1
14933,abd ct,1
14934,abd ct dx,1
14935,abd hernia,1
14936,abd hernia incisional,1
14937,abdomen hypothyroidism,1
14938,abdomen hypothyroidism nos,1
14939,abdomen pelvis,1
14940,abdomen pelvis inguinal,1
14941,abdomen r,1
14942,abdomen r vascular,1
14943,abdomenal,1
14944,abdomenal aortic,1
14945,abdomenal aortic aneurysm,1
14946,abdominal aneurism,1
14947,abdominal aorta,1
14948,abdominal aorta ectasia,1
14949,abdominal aortic anuerysm,1
14950,abdominal cavity,1
14951,abdominal cavity polyp,1
14952,abdominal distention,1
14953,abdominal distention r,1
14954,abdominal hernia,1
14955,abdominal hernia bladder,1
14956,abdominal hysterectomy right,1
14957,abdominal imaging,1
14958,abdominal imaging opioid,1
14959,abdominal migraines,1
14960,abdominal migraines migraine,1
14961,abdominal pain confirm,1
14962,abdominal pain diastolic,1
14963,abdominal pain left,1
14964,abdominal pain reported,1
14965,abdominal pain sp,1
14966,abdominal pain syndrome,1
14967,abdominal pain type,1
14968,abdominal pain vomiting,1
14969,abdominal surgery,1
14970,abdominal wall hernia,1
14971,abdominal wall mass,1
14972,abdominoperineal,1
14973,abdominoperineal resection,1
14974,abdominoperineal resection rectum,1
14975,ability,1
14976,ablated active,1
14977,ablated active thyroid,1
14978,ablated thyroid,1
14979,ablation ablation corrected,1
14980,ablation ablation kidney,1
14981,ablation ablation surgery,1
14982,ablation acid,1
14983,ablation acid reflux,1
14984,ablation af,1
14985,ablation af atrial,1
14986,ablation afib,1
14987,ablation afib occurred,1
14988,ablation boston,1
14989,ablation boston scientific,1
14990,ablation bph,1
14991,ablation bph sp,1
14992,ablation cardiac,1
14993,ablation cardiac disorder,1
14994,ablation coronary,1
14995,ablation coronary artery,1
14996,ablation endometriosis,1
14997,ablation endometriosis iron,1
14998,ablation glucose,1
14999,ablation glucose intolerance,1
15000,ablation hfref,1
15001,ablation hfref sp,1
15002,ablation hypothyroid,1
15003,ablation hypothyroid cataracts,1
15004,ablation kidney,1
15005,ablation kidney cancer,1
15006,ablation premature,1
15007,ablation premature ventricular,1
15008,ablation pvcs,1
15009,ablation tmj,1
15010,ablation tmj mva,1
15011,ablation years,1
15012,ablation years ago,1
15013,able eat,1
15014,able eat take,1
15015,able meet,1
15016,able meet physical,1
15017,able take,1
15018,able take meds,1
15019,abnl abdominal,1
15020,abnl abdominal imaging,1
15021,abnl papmild,1
15022,abnl papmild cervical,1
15023,abnormal adult,1
15024,abnormal adult lifefather,1
15025,abnormal anatomy,1
15026,abnormal anatomy acute,1
15027,abnormal back,1
15028,abnormal back pain,1
15029,abnormal bleeding,1
15030,abnormal bleeding female,1
15031,abnormal brain,1
15032,abnormal brain stent,1
15033,abnormal bypass,1
15034,abnormal bypass surgery,1
15035,abnormal cardiovascular,1
15036,abnormal cardiovascular disorder,1
15037,abnormal cataract,1
15038,abnormal cataract operation,1
15039,abnormal celiac,1
15040,abnormal celiac celiac,1
15041,abnormal cellulitis detached,1
15042,abnormal cellulitis legs,1
15043,abnormal cervical,1
15044,abnormal cervical pap,1
15045,abnormal chest,1
15046,abnormal chest xray,1
15047,abnormal chills,1
15048,abnormal chills covid,1
15049,abnormal cholesterol disorders,1
15050,abnormal cholesterol dvt,1
15051,abnormal clotting,1
15052,abnormal clotting disorder,1
15053,abnormal coagulation,1
15054,abnormal coagulation disorder,1
15055,abnormal cognitive,1
15056,abnormal cognitive impairment,1
15057,abnormal concomitant,1
15058,abnormal concomitant medication,1
15059,abnormal controlled,1
15060,abnormal controlled blood,1
15061,abnormal coronary artery,1
15062,abnormal coronary heart,1
15063,abnormal coronary stent,1
15064,abnormal degenerative,1
15065,abnormal degenerative arthritis,1
15066,abnormal diabetes iron,1
15067,abnormal dizziness,1
15068,abnormal dizziness stroke,1
15069,abnormal drug,1
15070,abnormal drug allergy,1
15071,abnormal ekg,1
15072,abnormal electrocardiogram,1
15073,abnormal electrocardiogram ecg,1
15074,abnormal endocrine,1
15075,abnormal endocrine disorder,1
15076,abnormal environmental,1
15077,abnormal environmental allergy,1
15078,abnormal eye,1
15079,abnormal eye disorder,1
15080,abnormal eyeglasses,1
15081,abnormal eyeglasses wearer,1
15082,abnormal fasting,1
15083,abnormal fasting glucose,1
15084,abnormal finding,1
15085,abnormal finding gi,1
15086,abnormal findings adult,1
15087,abnormal findings morbid,1
15088,abnormal glucose,1
15089,abnormal glucose chart,1
15090,abnormal gout,1
15091,abnormal gout hypertension,1
15092,abnormal heart,1
15093,abnormal heart rate,1
15094,abnormal hlab,1
15095,abnormal hlab mutation,1
15096,abnormal holter,1
15097,abnormal holter exam,1
15098,abnormal hypertension cholesterol,1
15099,abnormal hypertension sulfonamide,1
15100,abnormal involuntary,1
15101,abnormal involuntary movements,1
15102,abnormal kidney ablation,1
15103,abnormal kidney drug,1
15104,abnormal kidney stone,1
15105,abnormal lfts,1
15106,abnormal lfts cirrhosis,1
15107,abnormal liver,1
15108,abnormal liver tumor,1
15109,abnormal loss,1
15110,abnormal loss weight,1
15111,abnormal lymphoma,1
15112,abnormal lymphoma verbatim,1
15113,abnormal melanoma,1
15114,abnormal migraine,1
15115,abnormal migraine nausea,1
15116,abnormal movement,1
15117,abnormal movement disorder,1
15118,abnormal myelogenous,1
15119,abnormal myelogenous leukemia,1
15120,abnormal pacemaker,1
15121,abnormal pacemaker insertion,1
15122,abnormal pain,1
15123,abnormal pain pain,1
15124,abnormal pancreatitis,1
15125,abnormal pancreatitis occasional,1
15126,abnormal pet,1
15127,abnormal pet scan,1
15128,abnormal pfts,1
15129,abnormal pfts pulmonary,1
15130,abnormal posture f,1
15131,abnormal posture k,1
15132,abnormal posture muscle,1
15133,abnormal posture personal,1
15134,abnormal prediabetes,1
15135,abnormal premature,1
15136,abnormal premature ventricular,1
15137,abnormal prostate,1
15138,abnormal prostate cancer,1
15139,abnormal renal,1
15140,abnormal renal function,1
15141,abnormal results kidney,1
15142,abnormal results liver,1
15143,abnormal shellfish,1
15144,abnormal shellfish allergy,1
15145,abnormal similar,1
15146,abnormal similar add,1
15147,abnormal simvastatin,1
15148,abnormal simvastatin taking,1
15149,abnormal stress,1
15150,abnormal stress echo,1
15151,abnormal surgery,1
15152,abnormal taken,1
15153,abnormal taken blood,1
15154,abnormal takes,1
15155,abnormal takes blood,1
15156,abnormal tsh,1
15157,abnormal tsh decrease,1
15158,abnormal uric,1
15159,abnormal uric acid,1
15160,abnormal urine,1
15161,abnormal urine cytology,1
15162,abnormal vaccine,1
15163,abnormal vaccine reaction,1
15164,abnormal visual,1
15165,abnormal visual perceptions,1
15166,abnormalities o,1
15167,abnormalities o urinary,1
15168,abnormalities plasma,1
15169,abnormalities plasma proteins,1
15170,abnormalities r,1
15171,abnormalities r restlessness,1
15172,abnormality diabetes,1
15173,abnormality diabetes immune,1
15174,abnormality hearing,1
15175,abnormality hearing loss,1
15176,abnormality nos sinusitis,1
15177,abnormality o,1
15178,abnormality o memory,1
15179,abnormality treated,1
15180,abnormality treated similarly,1
15181,abnormality unspecified,1
15182,abo,1
15183,abo incompatibility,1
15184,abo incompatibility reaction,1
15185,abovementioned,1
15186,abovementioned allergies,1
15187,abovemigraines,1
15188,abovemigraines fibromyalgia,1
15189,abrasion background,1
15190,abrasion background last,1
15191,abrasion bipolar,1
15192,abrasion bipolar disorder,1
15193,abscess foot new,1
15194,abscess rectal,1
15195,abscess rectal cancer,1
15196,abscess sublingual,1
15197,abscess sublingual space,1
15198,abscess submandibular,1
15199,abscess submandibular region,1
15200,abscess wo,1
15201,abscess wo bleeding,1
15202,abscessus,1
15203,abscessus infection,1
15204,abscessus infection tx,1
15205,absence cervix,1
15206,absence cervix uterus,1
15207,absence left leg,1
15208,absence left right,1
15209,absence organs cyst,1
15210,absence organs r,1
15211,absence part,1
15212,absence part lung,1
15213,absent gallbladder,1
15214,absent gallbladder ihh,1
15215,absent kidney,1
15216,absolute,1
15217,absolute glaucoma,1
15218,absolute glaucoma bilateral,1
15219,absolutely,1
15220,absolutely thank,1
15221,absolutely thank much,1
15222,absorbing,1
15223,absorbing food,1
15224,absorbing food b,1
15225,absorption,1
15226,absorption heart,1
15227,absorption heart failure,1
15228,abuse ambulatory,1
15229,abuse ambulatory dysfunction,1
15230,abuse anorexia,1
15231,abuse anorexia bulimia,1
15232,abuse cad,1
15233,abuse cocaine,1
15234,abuse cocaine abuse,1
15235,abuse copd,1
15236,abuse copd myofascial,1
15237,abuse documented,1
15238,abuse documented encounter,1
15239,abuse etoh,1
15240,abuse etoh abuse,1
15241,abuse hearing,1
15242,abuse hearing loss,1
15243,abuse hyponatremia,1
15244,abuse hyponatremia normochromic,1
15245,abuse major,1
15246,abuse major depressive,1
15247,abuse nicotine,1
15248,abuse nicotine dependence,1
15249,abuse noncompliant,1
15250,abuse noncompliant treatment,1
15251,abuse obesity,1
15252,abuse obesity pain,1
15253,abuse osteopenia,1
15254,abuse osteopenia tubular,1
15255,abuse remission anemia,1
15256,abuse tb,1
15257,abuse tb lung,1
15258,abuse thrombocytopenia,1
15259,abuse uncomplicated diaphragmatic,1
15260,abuse uncomplicated seizures,1
15261,abuse uses,1
15262,abuse uses thc,1
15263,abuse vitamin,1
15264,abuse vitamin d,1
15265,abuse vocal,1
15266,abuse vocal cord,1
15267,abx,1
15268,abx possible,1
15269,abx possible pneumonia,1
15270,ac dec gerd,1
15271,ac dvt,1
15272,ac dvt hypothyroidism,1
15273,ac fbs,1
15274,ac fbs s,1
15275,ac highsensitivity,1
15276,ac highsensitivity creactive,1
15277,ac meds,1
15278,ac r,1
15279,ac r hearing,1
15280,ac range,1
15281,ac range ckd,1
15282,ac spurs,1
15283,ac spurs appendectomy,1
15284,academically,1
15285,academically professionally,1
15286,academically professionally always,1
15287,acalculia,1
15288,acalculia blood,1
15289,acalculia blood pressure,1
15290,accelerated,1
15291,accelerated use,1
15292,accelerated use ibuprofen,1
15293,access device d,1
15294,access device note,1
15295,access disorder,1
15296,access disorder muscle,1
15297,access previous,1
15298,access previous covid,1
15299,access sacral,1
15300,access sacral wound,1
15301,access snapshot,1
15302,access snapshot emr,1
15303,accident acid,1
15304,accident acid reflux,1
15305,accident automobile,1
15306,accident automobile breast,1
15307,accident car,1
15308,accident car flipped,1
15309,accident celiac,1
15310,accident celiac hypotension,1
15311,accident chiari,1
15312,accident chiari malformation,1
15313,accident diminished,1
15314,accident diminished vision,1
15315,accident eye,1
15316,accident eye disorder,1
15317,accident frequent,1
15318,accident frequent uti,1
15319,accident little,1
15320,accident little years,1
15321,accident migraines,1
15322,accident migraines also,1
15323,accident o,1
15324,accident o ponv,1
15325,accident obesity,1
15326,accident obesity bmi,1
15327,accident old,1
15328,accident old mi,1
15329,accident prophylaxis,1
15330,accident prophylaxis eye,1
15331,accident sleep,1
15332,accident sleep apnea,1
15333,accident spinal,1
15334,accident spinal fracture,1
15335,accident sustained,1
15336,accident sustained brain,1
15337,accident tia,1
15338,accident tia stroke,1
15339,accidents,1
15340,accidents hypertension,1
15341,accidents hypertension hep,1
15342,accute,1
15343,accute respiratory,1
15344,accute respiratory distress,1
15345,acdf,1
15346,ace,1
15347,ace inhibitor,1
15348,acetabular,1
15349,acetabular impingement,1
15350,acetabular impingement left,1
15351,acetaminophen,1
15352,acetaminophen citalopram,1
15353,acetaminophen citalopram diltiazem,1
15354,achalasia cardia,1
15355,achalasia cardia gerd,1
15356,achalasia post,1
15357,achalasia post surgical,1
15358,ache,1
15359,achelasia,1
15360,achelasia corrected,1
